,0
0,343406.6
1,340393.25
2,337714.53
3,335341.7
4,333249.6
5,331416.12
6,329821.78
7,328449.3
8,327283.38
9,326310.3
10,325517.9
11,324895.22
12,324432.4
13,324120.62
14,323951.88
15,323918.94
16,324015.28
17,324234.97
18,324572.62
19,325023.34
20,325582.66
21,326246.47
22,327011.1
23,327869.47
24,328811.25
25,329827.16
26,330908.22
27,332046.12
28,333232.9
29,334469.06
30,335762.62
31,337121.34
32,338552.62
33,340063.6
34,341660.94
35,343351.1
36,345140.12
37,347033.75
38,349037.3
39,351155.84
40,353394.1
41,355756.44
42,358247.0
43,360866.1
44,363611.0
45,366479.25
46,369468.7
47,372577.44
48,375803.84
49,379146.5
50,382604.12
51,386150.25
52,389759.6
53,393432.66
54,397170.0
55,400972.12
56,404839.66
57,408773.16
58,412773.22
59,416840.5
60,420975.66
61,425179.38
62,429452.3
63,433795.22
64,438208.8
65,442693.8
66,447251.03
67,451881.25
68,456585.28
69,461363.94
70,466218.1
71,471148.6
72,476156.34
73,481242.22
74,486407.16
75,491652.12
76,496978.06
77,502385.97
78,507876.84
79,513451.72
80,519111.62
81,524857.6
82,530690.8
83,536612.3
84,542623.2
85,548724.6
86,554917.8
87,561203.94
88,567584.1
89,574059.7
90,580631.9
91,587301.94
92,594071.1
93,600940.8
94,607912.3
95,614987.0
96,622166.25
97,629451.5
98,636844.1
99,644345.6
100,651957.5
101,659681.2
102,667518.25
103,675470.25
104,683538.75
105,691725.4
106,700031.75
107,708459.5
108,717010.3
109,725685.94
110,734488.06
111,743418.5
112,752479.0
113,761671.4
114,770997.5
115,780459.25
116,790058.5
117,799797.2
118,809677.3
119,819700.9
120,829869.9
121,840186.4
122,850652.5
123,861270.3
124,872042.0
125,882969.75
126,894055.8
127,905302.44
128,916711.9
129,928286.5
130,940028.6
131,951940.7
132,964025.1
133,976284.4
134,988721.0
135,1001337.5
136,1014136.5
137,1027120.6
138,1040292.5
139,1053654.9
140,1067210.5
141,1080962.1
142,1094912.6
143,1109064.9
144,1123421.8
145,1137986.2
146,1152761.4
147,1167750.1
148,1182955.6
149,1198381.1
150,1214029.8
151,1229904.8
152,1246009.4
153,1262347.0
154,1278921.0
155,1295734.9
156,1312792.0
157,1330096.0
158,1347650.5
159,1365459.1
160,1383525.6
161,1401853.8
162,1420447.2
163,1439310.1
164,1458446.2
165,1477859.6
166,1497554.4
167,1517534.5
168,1537804.2
169,1558367.9
170,1579229.8
171,1600394.1
172,1621865.5
173,1643648.4
174,1665747.2
175,1688166.9
176,1710912.0
177,1733987.2
178,1757397.6
