nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient011
2022-09-22 10:05:58.282899: I tensorflow/core/util/util.cc:169] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
current logging run number for gym_cancer:CancerControl-v0 :  0
save checkpoint path : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/
save checkpoint format : patient011_5_20220922-1005-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 1
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  1000  decay ratio :  0.8
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  1e-05
The local computer has : 24 cores
============================================================================================
Started training at (GMT) :  2022-09-22 10:06:04
============================================================================================
Updates : 116 		 Survival : 11.0  		 Treated : 0 		 Reward : 15.55
Updates : 118 		 Survival : 13.0  		 Treated : 0 		 Reward : -7.24
Updates : 120 		 Survival : 24.0  		 Treated : 0 		 Reward : 38.81
Updates : 122 		 Survival : 11.0  		 Treated : 0 		 Reward : 10.05
Updates : 124 		 Survival : 11.0  		 Treated : 0 		 Reward : 22.62
Updates : 126 		 Survival : 9.0  		 Treated : 0 		 Reward : 9.79
Updates : 128 		 Survival : 7.0  		 Treated : 0 		 Reward : 6.86
Updates : 130 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.52
Updates : 132 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.7
Updates : 134 		 Survival : 14.0  		 Treated : 0 		 Reward : 11.3
Updates : 136 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.21
Updates : 138 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.61
Updates : 140 		 Survival : 40.0  		 Treated : 0 		 Reward : -83.29
Updates : 142 		 Survival : 3.0  		 Treated : 0 		 Reward : -1.49
Updates : 144 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.67
Updates : 146 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.21
Updates : 148 		 Survival : 24.0  		 Treated : 0 		 Reward : 96.47
Updates : 150 		 Survival : 23.0  		 Treated : 0 		 Reward : 110.88
Updates : 152 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.57
Updates : 154 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.66
Updates : 156 		 Survival : 20.0  		 Treated : 0 		 Reward : -23.36
Updates : 158 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.7
Updates : 160 		 Survival : 13.0  		 Treated : 0 		 Reward : 3.94
Updates : 162 		 Survival : 18.0  		 Treated : 0 		 Reward : 10.85
Updates : 164 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.95
Updates : 166 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.21
Updates : 168 		 Survival : 5.0  		 Treated : 0 		 Reward : -0.71
Updates : 170 		 Survival : 11.0  		 Treated : 0 		 Reward : 8.24
Updates : 172 		 Survival : 7.0  		 Treated : 0 		 Reward : 3.09
Updates : 174 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.67
Updates : 176 		 Survival : 9.0  		 Treated : 0 		 Reward : 0.96
Updates : 178 		 Survival : 11.0  		 Treated : 0 		 Reward : 4.61
Updates : 180 		 Survival : 6.0  		 Treated : 0 		 Reward : 2.04
Updates : 182 		 Survival : 22.0  		 Treated : 0 		 Reward : 71.37
Updates : 184 		 Survival : 33.0  		 Treated : 0 		 Reward : -4.28
Updates : 186 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.67
