nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient011
2022-09-22 10:05:57.902326: I tensorflow/core/util/util.cc:169] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
current logging run number for gym_cancer:CancerControl-v0 :  0
save checkpoint path : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/
save checkpoint format : patient011_9_20220922-1005-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 1
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  1000  decay ratio :  0.8
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  1e-05
The local computer has : 24 cores
============================================================================================
Started training at (GMT) :  2022-09-22 10:06:04
============================================================================================
Updates : 0 		 Survival : 108.0  		 Treated : 0 		 Reward : -969867.28
--------------------------------------------------------------------------------------------
saving model at : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/final/patient011_9_20220922-1005-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:09
--------------------------------------------------------------------------------------------
Updates : 2 		 Survival : 3.0  		 Treated : 0 		 Reward : -1.0
Updates : 4 		 Survival : 10.0  		 Treated : 0 		 Reward : 6.12
Updates : 6 		 Survival : 5.0  		 Treated : 0 		 Reward : -0.98
Updates : 8 		 Survival : 108.0  		 Treated : 0 		 Reward : -969867.28
Updates : 10 		 Survival : 5.0  		 Treated : 0 		 Reward : -0.71
Updates : 12 		 Survival : 22.0  		 Treated : 0 		 Reward : 28.13
Updates : 14 		 Survival : 10.0  		 Treated : 0 		 Reward : 16.06
Updates : 16 		 Survival : 7.0  		 Treated : 0 		 Reward : -0.65
Updates : 18 		 Survival : 14.0  		 Treated : 0 		 Reward : 19.89
Updates : 20 		 Survival : 8.0  		 Treated : 0 		 Reward : 0.25
Updates : 22 		 Survival : 19.0  		 Treated : 0 		 Reward : 18.92
Updates : 24 		 Survival : 108.0  		 Treated : 0 		 Reward : -969867.28
Updates : 26 		 Survival : 20.0  		 Treated : 0 		 Reward : 85.03
Updates : 28 		 Survival : 6.0  		 Treated : 0 		 Reward : 1.41
Updates : 30 		 Survival : 24.0  		 Treated : 0 		 Reward : 82.1
Updates : 32 		 Survival : 108.0  		 Treated : 0 		 Reward : -969867.28
Updates : 34 		 Survival : 108.0  		 Treated : 0 		 Reward : -969867.28
Updates : 36 		 Survival : 108.0  		 Treated : 0 		 Reward : -969867.28
Updates : 38 		 Survival : 10.0  		 Treated : 0 		 Reward : 1.88
Updates : 40 		 Survival : 5.0  		 Treated : 0 		 Reward : -0.51
Updates : 42 		 Survival : 108.0  		 Treated : 0 		 Reward : -969867.28
Updates : 44 		 Survival : 6.0  		 Treated : 0 		 Reward : 0.08
/home/yitao/projects/PPOProstateCancer/codes/env/gym_cancer/envs/cancercontrol.py:265: RuntimeWarning: invalid value encountered in power
  dxdt = np.multiply(r * x, (1 - (x @ self.A / self.K) ** phi - drug @ Beta))
Updates : 46 		 Survival : 18.0  		 Treated : 0 		 Reward : 21.86
Updates : 48 		 Survival : 108.0  		 Treated : 0 		 Reward : -969867.28
Updates : 50 		 Survival : 5.0  		 Treated : 0 		 Reward : 0.46
Updates : 52 		 Survival : 108.0  		 Treated : 0 		 Reward : -969867.28
Updates : 54 		 Survival : 12.0  		 Treated : 0 		 Reward : -5.69
Updates : 56 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.14
Updates : 58 		 Survival : 17.0  		 Treated : 0 		 Reward : 1.24
Updates : 60 		 Survival : 6.0  		 Treated : 0 		 Reward : 1.43
Updates : 62 		 Survival : 108.0  		 Treated : 0 		 Reward : -969867.28
Updates : 64 		 Survival : 5.0  		 Treated : 0 		 Reward : -0.69
Updates : 66 		 Survival : 6.0  		 Treated : 0 		 Reward : -0.3
Updates : 68 		 Survival : 19.0  		 Treated : 0 		 Reward : 14.14
Updates : 70 		 Survival : 108.0  		 Treated : 0 		 Reward : -969867.28
Updates : 72 		 Survival : 17.0  		 Treated : 0 		 Reward : 72.07
Updates : 74 		 Survival : 17.0  		 Treated : 0 		 Reward : -4.41
Updates : 76 		 Survival : 9.0  		 Treated : 0 		 Reward : 2.87
Updates : 78 		 Survival : 108.0  		 Treated : 0 		 Reward : -969867.28
Updates : 80 		 Survival : 17.0  		 Treated : 0 		 Reward : 31.48
Updates : 82 		 Survival : 17.0  		 Treated : 0 		 Reward : 44.35
Updates : 84 		 Survival : 108.0  		 Treated : 0 		 Reward : -969867.28
Updates : 86 		 Survival : 16.0  		 Treated : 0 		 Reward : 12.83
Updates : 88 		 Survival : 13.0  		 Treated : 0 		 Reward : 10.54
Updates : 90 		 Survival : 5.0  		 Treated : 0 		 Reward : 0.88
Updates : 92 		 Survival : 22.0  		 Treated : 0 		 Reward : 8.28
Updates : 94 		 Survival : 8.0  		 Treated : 0 		 Reward : -0.12
Updates : 96 		 Survival : 10.0  		 Treated : 0 		 Reward : -0.51
Updates : 98 		 Survival : 31.0  		 Treated : 0 		 Reward : -35.34
Updates : 100 		 Survival : 35.0  		 Treated : 0 		 Reward : 135.27
Updates : 102 		 Survival : 8.0  		 Treated : 0 		 Reward : -1.97
Updates : 104 		 Survival : 10.0  		 Treated : 0 		 Reward : 3.42
Updates : 106 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.49
Updates : 108 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.21
Updates : 110 		 Survival : 7.0  		 Treated : 0 		 Reward : 2.34
Updates : 112 		 Survival : 7.0  		 Treated : 0 		 Reward : -1.49
Updates : 114 		 Survival : 5.0  		 Treated : 0 		 Reward : 1.85
Updates : 116 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.14
Updates : 118 		 Survival : 108.0  		 Treated : 0 		 Reward : -1362810.16
Updates : 120 		 Survival : 6.0  		 Treated : 0 		 Reward : -0.9
Updates : 122 		 Survival : 18.0  		 Treated : 0 		 Reward : 67.39
Updates : 124 		 Survival : 32.0  		 Treated : 0 		 Reward : 187.93
Updates : 126 		 Survival : 108.0  		 Treated : 0 		 Reward : -969867.28
Updates : 128 		 Survival : 5.0  		 Treated : 0 		 Reward : -0.6
Updates : 130 		 Survival : 108.0  		 Treated : 0 		 Reward : -969867.28
Updates : 132 		 Survival : 108.0  		 Treated : 0 		 Reward : -1682852.54
Updates : 134 		 Survival : 16.0  		 Treated : 0 		 Reward : 10.47
Updates : 136 		 Survival : 16.0  		 Treated : 0 		 Reward : 7.21
Updates : 138 		 Survival : 19.0  		 Treated : 0 		 Reward : 33.15
Updates : 140 		 Survival : 8.0  		 Treated : 0 		 Reward : 4.53
Updates : 142 		 Survival : 13.0  		 Treated : 0 		 Reward : 28.17
Updates : 144 		 Survival : 24.0  		 Treated : 0 		 Reward : 93.87
Updates : 146 		 Survival : 3.0  		 Treated : 0 		 Reward : -1.49
Updates : 148 		 Survival : 80.0  		 Treated : 0 		 Reward : -828.95
Updates : 150 		 Survival : 6.0  		 Treated : 0 		 Reward : 1.29
Updates : 152 		 Survival : 5.0  		 Treated : 0 		 Reward : 0.9
Updates : 154 		 Survival : 71.0  		 Treated : 0 		 Reward : 934.68
Updates : 156 		 Survival : 3.0  		 Treated : 0 		 Reward : -1.28
Updates : 158 		 Survival : 31.0  		 Treated : 0 		 Reward : 137.68
Updates : 160 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.68
Updates : 162 		 Survival : 18.0  		 Treated : 0 		 Reward : 56.71
Updates : 164 		 Survival : 10.0  		 Treated : 0 		 Reward : 4.48
Updates : 166 		 Survival : 14.0  		 Treated : 0 		 Reward : 11.25
Updates : 168 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.39
Updates : 170 		 Survival : 26.0  		 Treated : 0 		 Reward : 63.85
Updates : 172 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.99
Updates : 174 		 Survival : 10.0  		 Treated : 0 		 Reward : 3.06
Updates : 176 		 Survival : 17.0  		 Treated : 0 		 Reward : 37.14
Updates : 178 		 Survival : 72.0  		 Treated : 0 		 Reward : 730.32
Updates : 180 		 Survival : 75.0  		 Treated : 0 		 Reward : 818.24
Updates : 182 		 Survival : 76.0  		 Treated : 0 		 Reward : 859.93
Updates : 184 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.87
Updates : 186 		 Survival : 25.0  		 Treated : 0 		 Reward : 34.63
Updates : 188 		 Survival : 13.0  		 Treated : 0 		 Reward : -2.63
Updates : 190 		 Survival : 6.0  		 Treated : 0 		 Reward : 2.1
Updates : 192 		 Survival : 9.0  		 Treated : 0 		 Reward : 4.39
Updates : 194 		 Survival : 11.0  		 Treated : 0 		 Reward : -8.35
Updates : 196 		 Survival : 18.0  		 Treated : 0 		 Reward : 20.44
Updates : 198 		 Survival : 11.0  		 Treated : 0 		 Reward : 11.62
Updates : 200 		 Survival : 8.0  		 Treated : 0 		 Reward : 3.36
Updates : 202 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.48
Updates : 204 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.5
Updates : 206 		 Survival : 6.0  		 Treated : 0 		 Reward : 3.73
Updates : 208 		 Survival : 6.0  		 Treated : 0 		 Reward : 1.59
Updates : 210 		 Survival : 15.0  		 Treated : 0 		 Reward : 22.23
Updates : 212 		 Survival : 12.0  		 Treated : 0 		 Reward : 7.8
Updates : 214 		 Survival : 33.0  		 Treated : 0 		 Reward : -96.27
Updates : 216 		 Survival : 3.0  		 Treated : 0 		 Reward : -0.66
Updates : 218 		 Survival : 10.0  		 Treated : 0 		 Reward : 3.1
Updates : 220 		 Survival : 27.0  		 Treated : 0 		 Reward : 138.87
Updates : 222 		 Survival : 20.0  		 Treated : 0 		 Reward : 78.24
Updates : 224 		 Survival : 76.0  		 Treated : 0 		 Reward : 859.93
Updates : 226 		 Survival : 11.0  		 Treated : 0 		 Reward : 10.75
Updates : 228 		 Survival : 5.0  		 Treated : 0 		 Reward : -1.61
Updates : 230 		 Survival : 16.0  		 Treated : 0 		 Reward : 18.88
Updates : 232 		 Survival : 75.0  		 Treated : 0 		 Reward : 632.78
Updates : 234 		 Survival : 20.0  		 Treated : 0 		 Reward : 83.08
Updates : 236 		 Survival : 17.0  		 Treated : 0 		 Reward : 38.12
Updates : 238 		 Survival : 30.0  		 Treated : 0 		 Reward : 49.49
Updates : 240 		 Survival : 11.0  		 Treated : 0 		 Reward : 15.63
Updates : 242 		 Survival : 6.0  		 Treated : 0 		 Reward : 0.16
Updates : 244 		 Survival : 76.0  		 Treated : 0 		 Reward : 652.94
Updates : 246 		 Survival : 11.0  		 Treated : 0 		 Reward : 10.07
Updates : 248 		 Survival : 13.0  		 Treated : 0 		 Reward : 12.67
Updates : 250 		 Survival : 10.0  		 Treated : 0 		 Reward : 7.46
Updates : 252 		 Survival : 75.0  		 Treated : 0 		 Reward : 632.78
Updates : 254 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.24
Updates : 256 		 Survival : 22.0  		 Treated : 0 		 Reward : 82.54
Updates : 258 		 Survival : 8.0  		 Treated : 0 		 Reward : 1.68
Updates : 260 		 Survival : 55.0  		 Treated : 0 		 Reward : 272.06
Updates : 262 		 Survival : 4.0  		 Treated : 0 		 Reward : 0.6
Updates : 264 		 Survival : 80.0  		 Treated : 0 		 Reward : 1196.46
Updates : 266 		 Survival : 7.0  		 Treated : 0 		 Reward : -0.86
Updates : 268 		 Survival : 72.0  		 Treated : 0 		 Reward : 886.52
Updates : 270 		 Survival : 18.0  		 Treated : 0 		 Reward : 29.1
Updates : 272 		 Survival : 11.0  		 Treated : 0 		 Reward : 5.99
Updates : 274 		 Survival : 9.0  		 Treated : 0 		 Reward : 6.06
Updates : 276 		 Survival : 15.0  		 Treated : 0 		 Reward : 54.61
Updates : 278 		 Survival : 37.0  		 Treated : 0 		 Reward : 344.51
Updates : 280 		 Survival : 59.0  		 Treated : 0 		 Reward : 8.36
Updates : 282 		 Survival : 76.0  		 Treated : 0 		 Reward : 859.93
Updates : 284 		 Survival : 56.0  		 Treated : 0 		 Reward : 175.25
Updates : 286 		 Survival : 24.0  		 Treated : 0 		 Reward : 6.39
