nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient011
2022-09-20 18:14:12.194579: I tensorflow/core/util/util.cc:169] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
current logging run number for gym_cancer:CancerControl-v0 :  0
save checkpoint path : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/
save checkpoint format : patient011_4_20220920-1814-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 1
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  1000  decay ratio :  0.8
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  1e-05
The local computer has : 24 cores
============================================================================================
Started training at (GMT) :  2022-09-20 18:14:20
============================================================================================
Updates : 0 		 SurvivalMonths : 3.0 		 Average Reward : -0.95
--------------------------------------------------------------------------------------------
saving model at : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/final/patient011_4_20220920-1814-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:02
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 12.0 		 Average Reward : 9.5
Updates : 4 		 SurvivalMonths : 5.0 		 Average Reward : 0.36
Updates : 6 		 SurvivalMonths : 9.0 		 Average Reward : 4.95
Updates : 8 		 SurvivalMonths : 4.0 		 Average Reward : -1.45
Updates : 10 		 SurvivalMonths : 8.0 		 Average Reward : -1.59
Updates : 12 		 SurvivalMonths : 4.0 		 Average Reward : -1.45
Updates : 14 		 SurvivalMonths : 9.0 		 Average Reward : -0.26
Updates : 16 		 SurvivalMonths : 7.0 		 Average Reward : 0.65
Updates : 18 		 SurvivalMonths : 6.0 		 Average Reward : -0.15
Updates : 20 		 SurvivalMonths : 19.0 		 Average Reward : 20.07
/home/yitao/projects/PPOProstateCancer/codes/env/gym_cancer/envs/cancercontrol.py:265: RuntimeWarning: invalid value encountered in power
  dxdt = np.multiply(r * x, (1 - (x @ self.A / self.K) ** phi - drug @ Beta))
Updates : 22 		 SurvivalMonths : 4.0 		 Average Reward : -1.45
Updates : 24 		 SurvivalMonths : 8.0 		 Average Reward : -3.12
Updates : 26 		 SurvivalMonths : 4.0 		 Average Reward : -1.45
Updates : 28 		 SurvivalMonths : 4.0 		 Average Reward : -1.45
Updates : 30 		 SurvivalMonths : 5.0 		 Average Reward : -0.2
Updates : 32 		 SurvivalMonths : 6.0 		 Average Reward : 1.42
Updates : 34 		 SurvivalMonths : 28.0 		 Average Reward : -15.97
Updates : 36 		 SurvivalMonths : 21.0 		 Average Reward : 32.17
Updates : 38 		 SurvivalMonths : 21.0 		 Average Reward : 55.35
Updates : 40 		 SurvivalMonths : 7.0 		 Average Reward : 0.85
Updates : 42 		 SurvivalMonths : 4.0 		 Average Reward : -1.45
Updates : 44 		 SurvivalMonths : 16.0 		 Average Reward : -1.33
Updates : 46 		 SurvivalMonths : 29.0 		 Average Reward : 177.65
Updates : 48 		 SurvivalMonths : 4.0 		 Average Reward : 0.47
Updates : 50 		 SurvivalMonths : 8.0 		 Average Reward : 5.98
Updates : 52 		 SurvivalMonths : 4.0 		 Average Reward : 0.53
Updates : 54 		 SurvivalMonths : 7.0 		 Average Reward : 2.68
Updates : 56 		 SurvivalMonths : 92.0 		 Average Reward : -408642.53
Updates : 58 		 SurvivalMonths : 9.0 		 Average Reward : 2.11
Updates : 60 		 SurvivalMonths : 61.0 		 Average Reward : -5856.51
Updates : 62 		 SurvivalMonths : 69.0 		 Average Reward : -27863.31
Updates : 64 		 SurvivalMonths : 37.0 		 Average Reward : -584.29
Updates : 66 		 SurvivalMonths : 6.0 		 Average Reward : 1.37
Updates : 68 		 SurvivalMonths : 6.0 		 Average Reward : -1.65
Updates : 70 		 SurvivalMonths : 13.0 		 Average Reward : 23.48
Updates : 72 		 SurvivalMonths : 13.0 		 Average Reward : -15.52
Updates : 74 		 SurvivalMonths : 5.0 		 Average Reward : -0.13
Updates : 76 		 SurvivalMonths : 10.0 		 Average Reward : 13.92
Updates : 78 		 SurvivalMonths : 11.0 		 Average Reward : -0.44
Updates : 80 		 SurvivalMonths : 6.0 		 Average Reward : 1.37
Updates : 82 		 SurvivalMonths : 3.0 		 Average Reward : -0.01
Updates : 84 		 SurvivalMonths : 18.0 		 Average Reward : -12.48
Updates : 86 		 SurvivalMonths : 55.0 		 Average Reward : -4860.9
Updates : 88 		 SurvivalMonths : 4.0 		 Average Reward : -0.84
Updates : 90 		 SurvivalMonths : 11.0 		 Average Reward : 21.98
Updates : 92 		 SurvivalMonths : 21.0 		 Average Reward : 3.63
Updates : 94 		 SurvivalMonths : 3.0 		 Average Reward : -0.19
Updates : 96 		 SurvivalMonths : 5.0 		 Average Reward : -1.09
Updates : 98 		 SurvivalMonths : 6.0 		 Average Reward : -0.1
Updates : 100 		 SurvivalMonths : 7.0 		 Average Reward : 0.47
Updates : 102 		 SurvivalMonths : 14.0 		 Average Reward : 14.94
Updates : 104 		 SurvivalMonths : 5.0 		 Average Reward : -0.46
Updates : 106 		 SurvivalMonths : 5.0 		 Average Reward : -0.7
Updates : 108 		 SurvivalMonths : 10.0 		 Average Reward : 10.64
Updates : 110 		 SurvivalMonths : 10.0 		 Average Reward : -0.08
Updates : 112 		 SurvivalMonths : 13.0 		 Average Reward : 4.01
Updates : 114 		 SurvivalMonths : 4.0 		 Average Reward : -0.66
Updates : 116 		 SurvivalMonths : 15.0 		 Average Reward : 12.79
Updates : 118 		 SurvivalMonths : 24.0 		 Average Reward : 67.88
Updates : 120 		 SurvivalMonths : 8.0 		 Average Reward : 4.9
Updates : 122 		 SurvivalMonths : 3.0 		 Average Reward : -0.45
Updates : 124 		 SurvivalMonths : 34.0 		 Average Reward : -76.6
Updates : 126 		 SurvivalMonths : 4.0 		 Average Reward : -0.33
Updates : 128 		 SurvivalMonths : 5.0 		 Average Reward : -0.98
Updates : 130 		 SurvivalMonths : 25.0 		 Average Reward : -31.61
Updates : 132 		 SurvivalMonths : 4.0 		 Average Reward : 0.03
Updates : 134 		 SurvivalMonths : 3.0 		 Average Reward : -0.45
Updates : 136 		 SurvivalMonths : 3.0 		 Average Reward : -0.16
Updates : 138 		 SurvivalMonths : 8.0 		 Average Reward : 2.91
Updates : 140 		 SurvivalMonths : 61.0 		 Average Reward : -1043.13
Updates : 142 		 SurvivalMonths : 4.0 		 Average Reward : -0.3
Updates : 144 		 SurvivalMonths : 3.0 		 Average Reward : -0.78
Updates : 146 		 SurvivalMonths : 6.0 		 Average Reward : -1.24
Updates : 148 		 SurvivalMonths : 56.0 		 Average Reward : 1445.48
Updates : 150 		 SurvivalMonths : 6.0 		 Average Reward : 1.75
Updates : 152 		 SurvivalMonths : 7.0 		 Average Reward : 1.14
Updates : 154 		 SurvivalMonths : 18.0 		 Average Reward : 63.69
Updates : 156 		 SurvivalMonths : 28.0 		 Average Reward : 21.85
Updates : 158 		 SurvivalMonths : 17.0 		 Average Reward : 11.7
Updates : 160 		 SurvivalMonths : 13.0 		 Average Reward : 26.44
Updates : 162 		 SurvivalMonths : 7.0 		 Average Reward : 0.07
Updates : 164 		 SurvivalMonths : 39.0 		 Average Reward : -48.12
Updates : 166 		 SurvivalMonths : 16.0 		 Average Reward : 50.47
Updates : 168 		 SurvivalMonths : 14.0 		 Average Reward : 15.42
Updates : 170 		 SurvivalMonths : 3.0 		 Average Reward : -0.04
Updates : 172 		 SurvivalMonths : 4.0 		 Average Reward : 0.03
Updates : 174 		 SurvivalMonths : 6.0 		 Average Reward : 0.58
